star,title,quote,num,link,article
,"

    “低俗”小说


    
      ,

  ",本书为钱德勒全部13部短篇小说结集。较之那些批量炮制、来钱容易的快手同行，这批创作于1933—1939年间、登载于通俗期刊的作品，钱德勒耗费其上的心血更多，... ,,https://book.douban.com/subject/27031277/,"
        
  
  [美] 雷蒙德·钱德勒 / 黄雅琴、宋玲、宋佥 / 上海译文出版社 / 2017-6-1 / 76.00元

      "
7.2,"

    蜥蜴的尾巴


    

  ",那时候，我还是三四个月大的胎儿。这一切仿佛封存在我胎盘记忆中的一场梦——战争的动荡余音萦绕在巴塞罗那空中，我的父亲不知去向，留下怀着我的母亲独自应付生活。哥... ,"
        (150人评价)
    ",https://book.douban.com/subject/10345562/,"
        
  
  (西班牙)胡安·马尔塞 / 谭薇 / 南海出版公司 / 2012-4 / 28.00元

      "
8.5,"

    毛姆经典短篇集


    

  ","名家名作名译——悦经典系列 15
.
在讽刺中揭露人性，在反抗中寻求解脱。
20世纪拥有最多读者的作家之一，世界文学巨擘，故事圣手毛姆最具代表性短篇经典名作... ","
        (336人评价)
    ",https://book.douban.com/subject/26717204/,"
        
  
  [英]威廉· 萨摩赛特 ·毛姆 / 张和龙 / 雅众文化/陕西师范大学出版总社 / 2016-3 / 29.80

      "
8.8,"

    查密莉雅


    

  ",,"
        (127人评价)
    ",https://book.douban.com/subject/1115505/,"
        
  
  [吉尔吉斯斯坦] 艾特玛托夫 / 力冈、冯加 / 外国文学出版社 / 1998-10 / 16.50元

      "
8.1,"

    孤独的池塘


    

  ",怎样离开一个人？为什么离开？十九个凌厉彻骨的短篇，十九个短小精悍的故事，把我们带入一段段分手的场景中。一个深爱妻子的男人发现妻子另有情人，并与这个人结伴前去... ,"
        (1543人评价)
    ",https://book.douban.com/subject/6874612/,"
        
  
  [法] 弗朗索瓦丝·萨冈 / 陈剑 / 人民文学出版社 / 2011-11 / 20.00元

      "
8.3,"

    他方世界


    

  ","◆《西方正典》推荐作品，哈罗德•布鲁姆称之为“被遗忘的经典”
◆美国艺术文学院奖、世界奇幻终身成就奖得主约翰•克劳利代表作
◆科幻小说俱乐部“50年50部最... ","
        (294人评价)
    ",https://book.douban.com/subject/25805143/,"
        
  
  [美]约翰·克劳利 / 魏靖仪 / 译林出版社 / 2014-5-20 / 68.00元

      "
7.9,"

    房间


    

  ","“比电影《美丽人生》更艰难、更伟大的爱。”
入围纽约时报2010年十佳图书、2010年曼布克奖短名单，荣获爱尔兰年度小说大奖
一个年轻妈妈的牢笼，是她五岁儿... ","
        (1274人评价)
    ",https://book.douban.com/subject/7007231/,"
        
  
  (爱尔兰)爱玛·多诺霍 / 李玉瑶、杨懿晶 / 人民文学出版社 / 2012-2 / 29.80

      "
9.5,"

    西南联大英文课


    
      ,

  ","一、品读八十年前民国英文课本，感受联大通识教育独特魅力。
1 《西南联大英文课》原名《大学一年级英文教本》，是西南联大时期（1937-1946）大一学生的英... ","
        (24人评价)
    ",https://book.douban.com/subject/27015443/,"
        
  
  陈福田 (作者)、胡晓凯 (编者, 丛书主编) / 罗选民 / 中译出版社 / 2017-3-1 / 78.00

      "
8.3,"

    危险的关系


    

  ",《危险的关系》描述巴黎社交圈红人梅尔特伊侯爵夫人和瓦尔蒙子爵，这两位情场老手都发誓不再受爱情束缚，只愿游戏人间。美丽迷人又工于心计的梅尔特伊夫人，让瓦尔蒙去... ,"
        (615人评价)
    ",https://book.douban.com/subject/5321896/,"
        
  
  [法] 拉克洛 / 叶尊 / 上海译文出版社 / 2011-4 / 39.00元

      "
8.4,"

    已知的世界


    

  ","《已知的世界》以美国十九世纪末一段令人难以置信的史实为基础，叙述了一个黑人奴隶主匪夷所思的一生。
主人公亨利·汤森生为黑奴，用钱赎得自由身后，经营有方，在弗... ","
        (102人评价)
    ",https://book.douban.com/subject/4894979/,"
        
  
  [美] 爱德华·P. 琼斯 / 曹元勇、卢肖慧 / 上海文艺出版社 / 2010年8月 / 32.00元

      "
